ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active
94233,1,29,4,1,0,25,1,742366,0
28747,1,43,18,1,1,49,0,925537,0
94883,1,31,20,2,0,14,0,215949,0
90941,1,29,22,1,0,33,0,868070,0
87803,0,29,20,1,0,19,0,657087,0
73979,1,60,18,3,2,110,0,4624262,0
100938,0,69,3,1,1,67,0,1032764,0
4121,0,30,7,2,0,33,0,837009,0
95747,1,43,34,2,2,81,0,1001232,1
17700,0,54,33,3,1,37,1,1667851,0
25477,0,30,27,2,0,33,0,350330,0
29487,1,45,23,3,2,63,1,629194,0
37657,0,42,11,3,1,69,0,2201895,0
25802,0,49,30,3,2,27,1,460423,0
49198,1,30,24,2,0,31,0,639883,0
97415,0,26,18,3,0,21,0,687053,1
2309,1,49,20,3,1,69,1,416422,1
50545,0,29,27,2,0,25,0,1056955,0
73582,0,51,27,3,2,117,0,963006,1
72401,1,75,23,1,1,93,0,600972,0
67603,1,47,28,3,1,92,0,425544,1
32735,0,25,19,2,0,19,0,236677,0
52629,1,73,24,1,1,85,0,842732,0
93376,0,51,33,1,1,103,1,2430225,0
22154,1,25,27,2,0,14,0,991931,0
73555,1,54,31,1,1,26,0,994761,1
90752,0,46,4,3,1,55,0,568549,0
83696,1,67,19,1,2,93,1,1472086,1
92879,1,31,34,3,3,13,0,1042839,0
25580,1,55,19,1,2,80,1,823641,1
64218,1,65,33,1,1,93,0,1128101,1
44779,1,31,33,2,0,21,1,1426821,0
36720,0,47,18,3,1,44,1,1183379,0
36475,0,38,24,2,0,31,0,293157,0
22322,1,45,33,3,1,39,1,534916,0
33211,0,49,34,3,2,99,0,1303494,1
66997,1,76,7,1,1,14,1,1045661,0
88600,0,29,11,2,0,33,0,704399,0
71086,0,63,23,1,2,91,1,556944,1
72277,0,33,18,2,0,27,1,1181154,0
50672,1,28,4,2,0,33,0,1549881,0
56092,0,48,18,0,2,117,1,2585467,0
37737,1,29,20,1,0,13,0,720268,0
10001,0,26,1,2,0,26,1,351950,0
3186,1,70,31,1,2,115,1,522118,1
647,0,63,33,1,0,33,0,768328,0
71868,0,55,33,3,2,15,0,980895,0
53120,0,44,2,3,0,20,1,1143845,0
84962,1,54,33,3,2,105,0,310076,1
101464,1,61,4,3,2,115,1,801026,1
74130,0,36,33,3,3,8,0,365709,1
46381,0,27,19,3,0,32,0,2275863,0
99596,1,67,18,1,3,13,0,540247,0
66514,0,60,18,3,0,85,0,673997,1
91836,0,29,18,3,0,21,0,1516426,1
98238,0,36,18,2,0,20,1,563966,0
48243,0,26,29,2,0,27,1,837356,0
91888,1,29,4,2,0,19,0,1879270,0
68778,0,27,4,1,0,26,0,1177674,0
5101,0,44,18,1,2,51,1,2566306,0
61114,0,34,4,2,1,39,1,2441857,0
43640,0,51,11,3,1,62,0,1381030,1
61586,1,28,34,2,0,20,0,3033387,0
47585,0,52,18,3,1,57,0,1774179,1
97297,1,64,33,1,1,85,0,2056798,0
70142,0,47,34,3,1,55,1,1245724,0
1976,1,31,11,2,0,15,0,749380,1
20705,0,28,7,2,0,33,1,616663,0
23580,1,39,30,3,0,21,0,720953,0
90386,1,68,18,1,2,85,1,1030353,0
92346,0,35,34,2,0,19,0,1307899,0
12478,0,51,33,0,2,98,1,923027,1
81807,0,50,29,3,1,93,1,729719,0
43366,0,27,22,1,1,19,1,1097094,0
13702,1,38,33,3,1,20,0,1172548,1
25033,0,63,33,1,2,110,0,1042323,1
3678,1,45,29,3,1,15,1,454113,0
19499,1,29,20,2,0,32,0,435868,0
10094,0,59,32,3,2,68,0,978332,0
19868,0,46,29,3,2,62,1,630698,0
86988,0,31,32,2,0,32,0,1177185,0
61499,1,52,33,0,2,97,1,2339961,0
49337,1,46,19,3,1,57,0,1489121,1
78807,1,64,34,1,2,122,0,702058,1
100093,1,30,4,2,0,13,0,836884,0
71439,0,30,4,1,0,25,0,654141,0
3592,1,58,33,1,2,111,1,1940467,0
89065,0,31,4,2,0,31,0,1474053,0
9178,1,74,1,1,1,55,0,165219,0
44842,0,72,33,1,2,75,1,3937066,1
73048,1,49,18,3,2,49,0,1310382,1
27041,1,45,34,3,1,32,0,1127122,1
13801,1,56,34,3,2,50,0,1463213,1
64756,0,28,18,3,0,13,0,1759022,0
55210,0,27,18,2,0,14,0,506427,1
252,1,50,30,3,2,91,1,1124470,1
48192,0,32,4,2,0,15,0,1688944,0
42980,1,42,34,3,1,20,0,1639371,1
45795,0,30,7,2,0,27,0,657549,0
62287,0,69,12,1,2,43,0,1277639,0
20386,1,46,18,3,2,68,0,578277,1
19486,1,76,13,1,1,27,1,1211040,0
8280,0,57,23,3,2,105,0,448346,1
1186,0,46,33,3,2,105,0,633377,0
63237,1,46,19,1,3,15,0,549948,1
102260,1,78,13,1,2,122,0,1841507,0
62537,1,37,30,3,0,32,1,797511,0
62553,1,61,27,3,2,67,1,784784,0
16179,0,50,4,3,1,14,0,1529687,0
6214,1,51,33,1,2,99,0,2001796,0
207,1,27,4,2,0,20,1,1964176,0
1512,1,25,1,2,0,20,0,744307,1
33579,1,49,7,3,2,14,0,1174986,1
94632,1,57,33,3,2,122,0,1139280,0
96638,1,59,4,3,2,45,0,419118,0
86338,0,28,29,3,0,25,0,523969,0
62601,1,27,4,2,0,26,0,3084668,1
82269,0,41,14,3,1,67,0,646451,1
77973,1,52,4,3,2,99,0,1640537,1
81831,1,47,29,3,2,67,1,632416,0
49326,0,32,20,2,0,27,0,1118285,0
69164,1,49,34,3,2,86,0,2882487,1
25746,1,59,18,3,2,123,0,1312465,0
45687,0,37,1,3,1,61,0,2763200,0
56239,1,30,18,2,0,25,0,282966,0
45654,1,28,19,2,0,27,0,1093667,0
91956,1,50,4,3,1,25,0,1481280,1
4306,1,45,1,3,1,81,1,766735,1
52204,1,54,33,3,2,86,1,1198625,1
92023,0,38,20,3,1,21,0,629016,1
51724,0,30,27,2,0,21,1,558305,0
44105,0,34,20,2,0,31,0,751524,0
9336,1,35,30,2,0,32,1,413449,0
16446,1,43,29,1,2,44,0,502502,0
64913,1,57,33,3,2,134,0,838353,0
102250,0,47,18,3,1,98,0,2827280,0
46667,1,33,34,3,3,14,1,472963,0
87335,1,28,6,1,0,20,0,317098,0
92339,0,41,24,3,1,19,1,1339209,0
1630,0,54,1,3,2,87,0,310058,0
23470,1,45,18,3,1,86,1,756348,0
32097,1,53,15,3,2,55,0,296904,1
48157,1,54,10,3,2,27,0,1328832,1
62892,1,40,8,3,1,25,0,590123,1
22008,1,36,4,3,1,25,0,576114,1
12359,0,27,6,2,0,14,0,1245510,0
33908,1,54,3,3,2,45,1,823187,0
37005,1,29,18,1,1,19,0,1023989,1
47535,1,28,22,2,0,20,0,922912,0
370,0,27,10,2,0,27,1,432495,0
29229,1,54,21,3,2,115,1,643710,1
25861,0,33,18,2,0,32,0,2029529,0
78915,1,50,34,3,0,87,1,449476,0
43789,0,27,33,3,0,20,0,2021305,1
3145,0,25,18,2,0,21,1,3473251,0
96437,1,25,24,2,0,14,0,580983,0
9925,0,53,3,3,1,69,0,1555337,0
95855,0,64,32,1,2,80,0,1345964,0
91577,1,61,0,3,2,91,1,759944,0
50010,1,43,30,3,2,27,0,963914,1
74134,1,27,20,2,0,15,1,546335,0
61154,0,46,4,1,2,98,1,903652,1
78380,0,69,33,1,1,49,0,1174239,0
67682,1,60,18,3,1,81,0,2774503,1
34361,0,45,33,2,2,61,1,728269,0
9314,0,34,0,3,1,33,0,508181,1
12818,0,41,4,3,2,20,0,823365,1
41146,0,30,19,2,0,25,0,1049105,0
13041,1,56,33,3,0,21,0,527930,1
99937,0,28,29,2,0,19,0,549761,0
30464,1,30,19,2,0,38,0,835487,0
20016,0,46,4,3,2,21,0,1029098,1
83322,0,65,18,1,2,79,0,1883142,0
102847,1,68,34,1,2,13,0,982649,1
57185,0,50,34,3,2,19,1,1374186,0
31384,0,58,18,3,2,87,0,1254366,1
62253,1,58,4,3,1,111,1,1371570,0
55654,1,49,18,0,0,31,1,3704829,1
69502,0,52,34,3,1,98,0,921096,1
59819,1,55,4,3,1,75,0,575242,1
98455,1,61,33,3,2,50,1,2000924,0
20415,0,30,30,2,0,19,0,847377,0
37354,0,47,10,1,2,14,1,659614,0
42396,1,49,2,3,1,93,0,538877,1
28712,0,44,31,3,1,57,0,859989,0
9840,1,41,25,3,1,50,0,819609,1
68931,1,69,15,1,2,87,0,1310293,0
76817,0,29,22,2,0,25,0,1631120,0
35452,0,29,27,1,0,15,0,2472847,0
87822,1,65,34,1,2,32,0,1402328,0
15591,1,78,19,1,2,75,0,1082693,0
56694,0,58,23,3,1,93,0,396859,1
91347,0,57,2,3,2,81,1,413138,1
17090,1,69,32,1,1,67,0,1495182,1
21874,1,37,33,2,0,25,0,1146453,0
67008,1,49,30,3,2,105,0,1117626,1
32678,1,33,4,2,0,26,0,1057079,0
1278,0,37,11,3,0,32,0,799611,0
87152,1,34,23,1,0,14,0,709089,0
15653,1,30,30,2,0,15,1,613245,0
13446,1,56,33,3,0,79,0,1948548,1
56359,1,32,4,2,0,19,0,1452524,0
40196,0,47,13,3,1,37,1,730022,0
58603,1,27,33,3,0,20,1,1118863,0
26395,0,28,29,2,0,13,0,770410,0
97592,0,78,18,1,2,38,0,506454,0
13034,1,57,34,3,2,51,0,744841,1
44355,1,45,34,3,0,79,0,520472,1
33550,1,54,6,1,2,104,1,792073,1
84391,1,76,27,1,3,7,1,1659965,0
86925,0,27,2,1,0,20,0,508581,1
76698,0,43,33,3,1,99,0,434231,0
103522,1,74,34,1,1,99,1,1666391,1
50911,1,28,2,1,0,13,1,314063,0
67644,0,48,4,3,2,91,0,1790092,0
81319,0,29,1,2,0,21,0,487470,0
35544,1,48,14,3,1,25,0,980370,1
20051,1,63,33,2,2,111,1,1700558,0
49338,0,54,26,1,1,56,0,1665902,1
77292,1,47,7,3,1,51,0,673000,1
30072,1,61,10,3,1,93,1,2318467,1
42106,0,26,19,2,0,19,0,1192448,0
24293,1,47,24,3,2,93,1,2548986,1
55886,1,58,19,3,2,14,0,1256795,1
58988,1,41,4,3,2,21,1,990819,0
83908,0,59,34,3,1,86,0,2889972,1
77759,1,49,18,3,2,43,0,2204467,0
16505,1,68,33,1,2,61,0,1707349,0
91667,1,27,27,1,0,31,0,1065009,1
36850,1,47,33,3,1,91,0,4861295,1
30937,1,28,24,2,0,26,0,669475,0
99356,0,35,34,2,2,31,1,733386,1
13547,0,53,34,3,2,93,0,477511,1
103362,0,29,19,2,0,19,0,459960,0
93304,1,47,4,3,1,33,0,566280,1
31447,1,70,10,1,1,68,0,1022601,1
37387,1,25,24,1,0,19,0,569172,0
11046,0,35,19,1,2,63,0,647154,0
83156,1,29,18,2,0,26,0,812498,0
84704,1,54,27,3,2,44,1,1055611,0
98185,0,27,32,3,0,19,0,841156,0
47486,1,27,27,2,0,33,0,1228671,1
87958,0,28,20,2,0,25,0,717642,0
94600,0,26,17,2,0,21,1,542099,0
104999,1,46,1,3,1,62,0,651266,0
96913,1,28,1,2,0,19,0,276113,0
87836,0,24,20,2,0,13,1,385895,0
35674,1,65,33,1,2,79,0,465087,0
99361,0,52,18,3,2,80,1,713940,0
94487,1,27,4,1,0,14,0,785603,0
62454,0,37,34,1,1,45,1,3135843,1
6425,1,43,33,3,2,14,1,638637,1
92357,0,67,12,1,2,44,1,677565,1
37231,0,26,25,2,0,20,1,738166,0
81592,0,29,28,2,0,13,0,717704,1
7927,1,66,22,1,2,115,0,956847,1
29029,0,62,1,2,1,86,0,355750,1
1769,0,29,13,1,0,19,0,701231,0
24670,1,24,18,2,0,13,0,482291,1
49629,0,27,4,1,0,19,0,1310249,1
9882,1,55,20,3,2,115,0,640808,0
77125,1,53,7,3,0,31,0,505075,0
89755,0,67,20,1,0,27,0,398177,0
64164,0,27,5,3,0,20,0,1272806,0
43639,1,62,3,1,2,80,0,1024452,1
78451,0,61,4,3,2,98,0,439268,0
9802,1,26,24,2,0,21,0,841121,0
27015,1,37,33,2,3,8,1,809748,0
21357,1,29,30,1,0,14,1,1286984,0
53931,1,30,11,2,0,25,1,889003,0
95406,0,50,27,3,2,45,0,1061716,0
98812,1,27,2,1,0,26,1,268050,0
63880,0,53,18,1,2,73,0,3125012,1
98177,0,26,14,2,0,20,0,1695058,0
14838,0,28,6,2,0,31,1,474548,0
32598,0,30,27,2,0,32,0,931349,1
89197,1,26,20,2,0,19,0,410387,1
93342,0,35,34,2,0,26,0,733698,0
49266,1,73,9,1,2,105,1,371815,1
10035,0,33,4,1,2,13,1,595908,0
39756,1,54,10,3,2,86,0,875964,1
63935,1,63,18,2,2,92,0,1911648,1
12431,1,54,34,3,2,104,0,2840461,1
5027,0,25,28,2,0,15,0,918942,1
72546,1,55,20,3,1,85,0,509845,0
13174,1,37,11,2,1,49,1,883004,1
72820,0,31,34,1,0,33,0,1750051,0
47931,0,30,27,3,0,26,0,620552,0
75540,1,44,1,2,1,21,1,542588,1
3126,1,55,18,3,1,27,1,1545885,0
24175,1,44,33,1,1,67,0,542437,0
81391,0,77,27,1,2,62,0,1892220,0
62995,1,49,33,3,2,51,0,539277,0
15470,1,62,23,1,1,13,0,906002,1
31637,1,46,25,3,1,56,0,583662,1
23284,0,29,11,1,0,32,1,321103,0
96272,0,42,18,3,2,50,0,1890564,0
14311,0,59,2,3,2,49,0,598427,1
37117,0,62,1,1,1,38,0,511091,1
92160,0,43,30,3,1,86,0,193566,1
28666,1,53,18,3,2,115,0,1126028,0
47594,1,60,34,3,0,62,0,426229,1
46488,0,31,33,2,0,19,0,674290,1
103757,0,30,18,1,0,25,0,1264787,0
69078,0,45,33,3,2,27,1,396254,1
16471,1,40,30,1,0,32,1,1016371,1
43559,0,26,7,2,0,19,1,876338,0
39846,1,54,0,2,2,63,0,428454,0
58399,0,82,34,1,2,19,1,1056127,0
57614,0,27,1,2,0,19,0,601017,1
67729,1,63,4,1,2,123,0,689438,1
49021,0,34,14,2,0,27,0,454193,0
15167,0,29,27,1,0,26,0,1196854,0
87689,1,55,11,3,2,80,0,1287420,0
89789,0,29,33,2,0,32,0,2109380,0
15458,1,39,4,3,1,20,0,1117412,0
18989,0,56,33,3,2,116,0,2070691,0
79007,1,59,33,3,1,92,1,2274768,1
37587,0,29,13,2,0,21,0,513271,0
11021,0,39,17,3,1,27,1,581072,0
11917,1,27,22,2,0,26,0,1619782,0
98436,1,49,5,3,1,97,1,586554,0
101241,1,57,30,1,1,81,1,515212,0
5273,1,37,20,2,0,19,1,686252,1
56995,0,54,18,1,0,39,1,988647,0
99849,0,27,2,3,0,19,0,198665,0
4286,0,49,11,3,1,85,0,1091318,1
91468,0,27,4,2,0,20,0,2652618,1
9477,1,52,18,0,2,97,0,1558843,1
75355,1,64,13,2,1,27,0,867750,1
42081,0,34,2,2,0,33,0,612053,0
7623,1,67,18,1,0,93,0,1065063,1
9769,0,81,11,1,0,74,1,1203956,0
63028,1,53,4,3,1,19,1,1545574,0
68808,0,34,20,2,0,32,0,355448,0
19201,1,45,4,3,1,38,0,1296925,1
104466,1,53,4,3,1,61,0,1592966,0
28860,1,44,7,3,0,73,0,1467351,1
61632,1,48,34,3,3,8,0,830521,0
83115,0,31,7,2,0,31,0,327342,0
61138,0,59,9,3,0,26,0,463173,0
50845,1,62,23,1,1,97,0,489322,1
17293,1,60,1,1,2,110,1,1652382,1
49943,1,28,4,2,0,13,1,801507,1
31513,1,49,30,3,1,25,1,1079116,0
43240,0,49,33,3,0,92,0,1825817,1
9054,1,58,7,3,1,98,1,823748,0
5494,1,29,4,2,0,25,0,1192626,0
86595,1,63,18,1,1,37,1,2776159,0
86118,1,46,33,3,1,21,0,1149274,0
57348,0,43,13,3,1,86,0,531588,0
11034,1,48,33,3,1,91,1,3923102,0
5541,0,44,23,3,1,80,1,524058,1
104151,1,48,18,3,1,93,1,1569675,1
17207,1,45,27,2,2,97,1,396183,0
99719,1,31,4,2,0,26,0,1005255,1
54844,1,27,32,2,0,15,0,1289699,0
29380,1,53,23,2,2,98,0,648872,1
60646,1,50,20,3,3,13,0,1062918,0
41379,0,59,18,3,2,80,1,2872003,0
44690,1,58,4,3,2,111,0,745659,1
1197,1,25,23,3,0,19,1,1766543,0
83482,0,28,18,2,0,14,0,1451857,1
208,1,61,18,3,2,109,0,1109313,1
71679,0,59,0,3,2,63,0,851649,0
5232,0,25,9,2,0,19,0,734178,0
66546,0,69,30,1,1,56,0,590070,1
4420,1,28,19,2,0,21,1,2196279,0
103882,0,30,27,2,0,31,0,410370,0
25829,0,27,18,1,1,14,1,831847,0
77071,1,32,14,3,0,26,0,544377,0
